Potencia,Maximo,DesvioPadrao,Curtose,Assimetria
707202.2,3107.9905,389.59076,0.23484724905188292,0.6293192408929961
706384.0,3209.597,389.62012,0.24861164606307806,0.6326682355631766
708779.25,4306.7505,389.9832,0.24587287107432543,0.630679353426194
709335.56,3138.928,390.08728,0.24161559260791732,0.6289605084852444
707918.1,3224.256,389.55927,0.23548835449694172,0.6269567398876039
707055.7,3585.537,389.19138,0.24397872050269376,0.6288687326615598
705957.5,3049.24,388.88748,0.23084566345784108,0.6271272425564552
707177.2,3413.6528,389.31897,0.23769218284896265,0.6286445944772733
707784.9,3176.7676,389.58316,0.2418590026225904,0.6298430759379816
714277.25,3452.4163,392.11182,0.2533381486123165,0.6332644184585429
714081.6,3156.9365,391.68115,0.25829673774671225,0.6348575041827731
709904.06,3343.5146,389.908,0.22624655349083422,0.6240694456324185
717201.1,3229.869,392.3972,0.27287110559350314,0.6379503818956334
720010.75,3367.25,393.49997,0.2833635177076923,0.6425665931491293
716514.7,3115.9375,392.66373,0.2793577218455807,0.6416496357869363
718767.4,3223.8625,393.04324,0.2758739020697316,0.639371580239381
716606.1,3355.015,392.54153,0.27148470929855195,0.6364926613106291
717202.44,3473.619,392.51566,0.24101243579716236,0.6328254216469755
717163.5,3282.0098,392.66837,0.2547468274063993,0.6340116374473139
715415.5,3394.4436,392.27762,0.2762591837782584,0.637958213484633
717239.94,3356.1624,392.7708,0.25643226589493695,0.6352206425592855
714687.5,3079.1487,391.67038,0.2538036650093285,0.635085767541884
707265.9,3202.5872,389.5167,0.2465889147891116,0.6304953310148634
713693.8,3126.1528,391.15683,0.2447356983111355,0.6294313185174715
714597.3,3227.02,391.90442,0.2592829054369532,0.6338273216050759
709939.0,3214.8357,390.6748,0.2608626941071348,0.6354836998358162
709879.94,3196.666,390.54233,0.2662986610763731,0.637529120298285
717413.44,5009.0903,392.6727,0.26310132813759113,0.6338127528465781
715381.25,3169.1238,392.42487,0.25541249692093526,0.635694811754664
714785.3,3655.431,391.9712,0.26238707798421856,0.6351558711568983
712385.8,3347.8975,391.21265,0.23654739922586154,0.6309932744172762
713130.7,3121.9746,391.24564,0.2488256258494439,0.6324877970619681
713706.06,4058.9878,391.7205,0.26501039657999925,0.6367170814790224
714425.0,3126.0793,391.72028,0.2588041161843284,0.6345302019133165
715634.6,3271.3882,392.4761,0.2522747530980376,0.6351201008922309
714340.7,3052.869,391.68274,0.2482773365440858,0.6317259722431728
713886.25,3404.1636,391.82626,0.25425079462714084,0.6346970478321579
711125.3,4953.204,390.5885,0.2682923495501277,0.633805259689443
714129.25,3415.4192,391.67422,0.25303351957141773,0.6315483653081095
714790.6,3417.0234,391.9131,0.2492439286367487,0.6332646195360385
714488.2,3205.3257,391.75867,0.25930692998464533,0.6360787624889273
715367.4,3492.229,392.0169,0.24907242076169345,0.6320480073511995
712770.06,3205.386,390.6168,0.24056695406356443,0.6273484342313306
715485.3,3166.23,392.172,0.27430037267844565,0.6375073184015683
709763.5,3231.8047,390.69406,0.24303320855218313,0.6328179826180927
713462.8,3643.4983,391.41473,0.2608968222794559,0.6344477936975276
716850.94,3833.9204,392.7315,0.25593098580245766,0.635515488851693
715936.8,5645.5435,392.1741,0.336131311394416,0.6400583061672909
715842.06,3192.7683,392.66153,0.2742249236046512,0.641028568124808
714670.2,3264.3755,391.42688,0.2646340570582617,0.6360128349968431
713605.4,3384.99,391.6002,0.2688285690701626,0.636012390863814
715048.7,3236.4424,392.21402,0.24867020650488536,0.6338018951739551
708788.8,3002.6897,390.0926,0.24765100711130783,0.6304909367483746
715356.56,3337.0662,391.58597,0.25777805917309893,0.6345563977816631
715309.2,4044.9827,392.02252,0.2668173572818735,0.6352251483769573
713501.8,3229.519,391.42587,0.254868538042619,0.6335077954206205
714922.2,3562.979,391.6442,0.27234403905611737,0.6373726843958099
716114.25,3766.7612,392.0686,0.26150211270738133,0.6358079011964259
711495.1,4385.392,390.7711,0.24185123393659236,0.6287975206998286
707465.2,3550.4084,389.59937,0.244255626049259,0.6295666486123609
716189.94,3197.456,392.26807,0.2660682153240326,0.6371743717556673
715324.75,3954.1843,391.61902,0.2602436126573848,0.6346784991267141
713202.06,3249.13,391.14832,0.24984338181751164,0.6317572190848728
711768.06,3205.2021,390.71988,0.26362418648437513,0.6354831284729352
714488.7,3208.1252,391.6032,0.26219208943821437,0.6348761503045812
709447.6,3237.889,390.122,0.25093064955505584,0.6326418821614115
708629.44,3190.2078,390.1502,0.256688873000789,0.632451493370412
716837.75,3366.4229,392.47162,0.26981611235828984,0.6365202820992182
711491.2,4470.057,391.19318,0.2581692272572056,0.6354047385996818
708206.9,4410.4336,389.4861,0.26140938631819877,0.6339671414258778
717335.44,3439.577,392.6167,0.2658111890262229,0.634472013598998
716533.9,3683.1047,392.34836,0.274836115384399,0.638720771764961
716705.1,3084.2778,392.7389,0.2680449624905754,0.639197642808502
713434.06,3478.44,391.34216,0.24621036866962775,0.6319472034613512
717011.5,3737.9473,392.48257,0.2701797237438348,0.6381287711088564
715203.4,3122.45,391.78595,0.26215397275934427,0.6338639457984557
715387.4,3618.8276,392.0802,0.25552309906224435,0.6339616726863729
717871.44,3475.575,392.5266,0.25572864765806536,0.6340793396559773
717198.44,4049.8743,392.7223,0.26587275402982913,0.6368181228911521
706429.25,3296.3997,389.59525,0.24694418585322842,0.6331463267786329
706504.9,3194.8787,389.30975,0.23601190508603853,0.6274239292889551
707946.1,3175.592,389.42938,0.24859194470690626,0.6325114626974664
